location,success,skipped,error,error_short,timestamp
Afghanistan,True,False,,,2024-05-31T07:02:20
Albania,True,False,,,2024-05-31T07:02:20
Algeria,True,False,,,2024-05-31T07:02:20
Andorra,True,False,,,2024-05-31T07:02:20
Angola,True,False,,,2024-05-31T07:02:20
Anguilla,True,False,,,2024-05-31T07:02:20
Antigua and Barbuda,True,False,,,2024-05-31T07:02:20
Argentina,True,False,,,2024-05-31T07:02:20
Armenia,True,False,,,2024-05-31T07:02:20
Aruba,True,False,,,2024-05-31T07:02:20
Australia,True,False,,,2024-05-31T07:02:20
Austria,True,False,,,2024-05-31T07:02:20
Azerbaijan,True,False,,,2024-05-31T07:02:20
Bahamas,True,False,,,2024-05-31T07:02:20
Bahrain,True,False,,,2024-05-31T07:02:20
Bangladesh,True,False,,,2024-05-31T07:02:20
Barbados,True,False,,,2024-05-31T07:02:20
Belarus,False,False,"Traceback (most recent call last):
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/vax/process/process.py"", line 92, in _process_location_and_move_file
    df = process_location(df, monotonic_check_skip, anomaly_check_skip)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/vax/process/utils.py"", line 57, in process_location
    country_df_sanity_checks(
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 73, in country_df_sanity_checks
    checker.run()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 253, in run
    self.check_metrics()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 170, in check_metrics
    self._check_metrics_monotonic(df)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 186, in _check_metrics_monotonic
    raise ValueError(
ValueError: Belarus -- Column people_vaccinated must be monotonically increasing! Check:
   location       date  ... people_fully_vaccinated total_boosters
70  Belarus 2023-12-23  ...                 6366658        5724423

[1 rows x 8 columns]
","Belarus -- Column people_vaccinated must be monotonically increasing! Check:
   location       date  ... people_fully_vaccinated total_boosters
70  Belarus 2023-12-23  ...                 6366658        5724423

[1 rows x 8 columns]",2024-05-31T07:02:20
Belgium,True,False,,,2024-05-31T07:02:20
Belize,True,False,,,2024-05-31T07:02:21
Benin,True,False,,,2024-05-31T07:02:21
Bermuda,True,False,,,2024-05-31T07:02:21
Bhutan,True,False,,,2024-05-31T07:02:21
Bolivia,True,False,,,2024-05-31T07:02:21
Bonaire Sint Eustatius and Saba,True,False,,,2024-05-31T07:02:21
Bosnia and Herzegovina,False,False,"Traceback (most recent call last):
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/vax/process/process.py"", line 92, in _process_location_and_move_file
    df = process_location(df, monotonic_check_skip, anomaly_check_skip)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/vax/process/utils.py"", line 57, in process_location
    country_df_sanity_checks(
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 73, in country_df_sanity_checks
    checker.run()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 253, in run
    self.check_metrics()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 170, in check_metrics
    self._check_metrics_monotonic(df)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 186, in _check_metrics_monotonic
    raise ValueError(
ValueError: Bosnia and Herzegovina -- Column total_vaccinations must be monotonically increasing! Check:
                  location       date  ... people_fully_vaccinated total_boosters
22  Bosnia and Herzegovina 2023-12-23  ...                  461202         182203

[1 rows x 8 columns]
","Bosnia and Herzegovina -- Column total_vaccinations must be monotonically increasing! Check:
                  location       date  ... people_fully_vaccinated total_boosters
22  Bosnia and Herzegovina 2023-12-23  ...                  461202         182203

[1 rows x 8 columns]",2024-05-31T07:02:21
Botswana,True,False,,,2024-05-31T07:02:21
Brazil,True,False,,,2024-05-31T07:02:21
British Virgin Islands,True,False,,,2024-05-31T07:02:21
Brunei,True,False,,,2024-05-31T07:02:21
Bulgaria,True,False,,,2024-05-31T07:02:21
Burkina Faso,True,False,,,2024-05-31T07:02:21
Burundi,True,False,,,2024-05-31T07:02:21
Cambodia,True,False,,,2024-05-31T07:02:21
Cameroon,True,False,,,2024-05-31T07:02:21
Canada,True,False,,,2024-05-31T07:02:21
Cape Verde,True,False,,,2024-05-31T07:02:21
Cayman Islands,True,False,,,2024-05-31T07:02:21
Central African Republic,True,False,,,2024-05-31T07:02:21
Chad,True,False,,,2024-05-31T07:02:21
Chile,True,False,,,2024-05-31T07:02:21
China,True,False,,,2024-05-31T07:02:22
Colombia,True,False,,,2024-05-31T07:02:22
Comoros,True,False,,,2024-05-31T07:02:22
Congo,True,False,,,2024-05-31T07:02:22
Cook Islands,True,False,,,2024-05-31T07:02:22
Costa Rica,True,False,,,2024-05-31T07:02:22
Cote d'Ivoire,True,False,,,2024-05-31T07:02:22
Croatia,True,False,,,2024-05-31T07:02:22
Cuba,True,False,,,2024-05-31T07:02:22
Curacao,True,False,,,2024-05-31T07:02:22
Cyprus,True,False,,,2024-05-31T07:02:22
Czechia,True,False,,,2024-05-31T07:02:22
Democratic Republic of Congo,True,False,,,2024-05-31T07:02:22
Denmark,True,False,,,2024-05-31T07:02:22
Djibouti,False,False,"Traceback (most recent call last):
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/vax/process/process.py"", line 92, in _process_location_and_move_file
    df = process_location(df, monotonic_check_skip, anomaly_check_skip)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/vax/process/utils.py"", line 57, in process_location
    country_df_sanity_checks(
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 73, in country_df_sanity_checks
    checker.run()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 253, in run
    self.check_metrics()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 170, in check_metrics
    self._check_metrics_monotonic(df)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/checks.py"", line 186, in _check_metrics_monotonic
    raise ValueError(
ValueError: Djibouti -- Column people_vaccinated must be monotonically increasing! Check:
    location       date  ... people_fully_vaccinated total_boosters
67  Djibouti 2023-12-31  ...                  351712           <NA>

[1 rows x 8 columns]
","Djibouti -- Column people_vaccinated must be monotonically increasing! Check:
    location       date  ... people_fully_vaccinated total_boosters
67  Djibouti 2023-12-31  ...                  351712           <NA>

[1 rows x 8 columns]",2024-05-31T07:02:22
Dominica,True,False,,,2024-05-31T07:02:22
Dominican Republic,True,False,,,2024-05-31T07:02:22
Ecuador,True,False,,,2024-05-31T07:02:22
