location,date,vaccine,total_vaccinations
Peru,2022-03-26,Moderna,2
Peru,2022-03-27,Moderna,7
Peru,2022-03-28,Moderna,13
Peru,2022-03-29,Moderna,15
Peru,2022-03-30,Moderna,26
Peru,2022-03-31,Moderna,34
Peru,2022-04-01,Moderna,46
Peru,2022-04-02,Moderna,291
Peru,2022-04-03,Moderna,1214
Peru,2022-04-04,Moderna,2039
Peru,2022-04-05,Moderna,2218
Peru,2022-04-06,Moderna,4328
Peru,2022-04-07,Moderna,7907
Peru,2022-04-08,Moderna,11556
Peru,2022-04-09,Moderna,16310
Peru,2022-04-10,Moderna,18480
Peru,2022-04-11,Moderna,27611
Peru,2022-04-12,Moderna,37025
Peru,2022-04-13,Moderna,49701
Peru,2022-04-14,Moderna,51838
Peru,2022-04-15,Moderna,53319
Peru,2022-04-16,Moderna,58147
Peru,2022-04-17,Moderna,60457
Peru,2022-04-18,Moderna,72672
Peru,2022-04-19,Moderna,85285
Peru,2022-04-20,Moderna,98772
Peru,2022-04-21,Moderna,112234
Peru,2022-04-22,Moderna,125708
Peru,2022-04-23,Moderna,134263
Peru,2022-04-24,Moderna,139047
Peru,2022-04-25,Moderna,146982
Peru,2022-04-26,Moderna,156538
Peru,2022-04-27,Moderna,167451
Peru,2022-04-28,Moderna,178641
Peru,2022-04-29,Moderna,191203
Peru,2022-04-30,Moderna,204287
Peru,2022-05-01,Moderna,208394
Peru,2022-05-02,Moderna,218451
Peru,2022-05-03,Moderna,230375
Peru,2022-05-04,Moderna,242644
Peru,2022-05-05,Moderna,255509
Peru,2022-05-06,Moderna,273479
Peru,2022-05-07,Moderna,290851
Peru,2022-05-08,Moderna,294042
Peru,2022-05-09,Moderna,318278
Peru,2022-05-10,Moderna,348242
Peru,2022-05-11,Moderna,376467
Peru,2022-05-12,Moderna,402086
Peru,2022-05-13,Moderna,426963
Peru,2022-05-14,Moderna,454091
Peru,2022-05-15,Moderna,470433
Peru,2022-05-16,Moderna,493689
Peru,2022-05-17,Moderna,519464
Peru,2022-05-18,Moderna,546673
Peru,2022-05-19,Moderna,572263
Peru,2022-05-20,Moderna,598515
Peru,2022-05-21,Moderna,631582
Peru,2022-05-22,Moderna,654348
Peru,2022-05-23,Moderna,684370
Peru,2022-05-24,Moderna,715462
Peru,2022-05-25,Moderna,745995
Peru,2022-05-26,Moderna,773533
Peru,2022-05-27,Moderna,803235
Peru,2022-05-28,Moderna,839504
Peru,2022-05-29,Moderna,867267
Peru,2022-05-30,Moderna,896233
Peru,2022-05-31,Moderna,922397
Peru,2022-06-01,Moderna,946192
Peru,2022-06-02,Moderna,973253
Peru,2022-06-03,Moderna,1002584
Peru,2022-06-04,Moderna,1037788
Peru,2022-06-05,Moderna,1061911
Peru,2022-06-06,Moderna,1090885
Peru,2022-06-07,Moderna,1122535
Peru,2022-06-08,Moderna,1154912
Peru,2022-06-09,Moderna,1187875
Peru,2022-06-10,Moderna,1221012
Peru,2022-06-11,Moderna,1258521
Peru,2022-06-12,Moderna,1286872
Peru,2022-06-13,Moderna,1305761
Peru,2022-06-14,Moderna,1337308
Peru,2022-06-15,Moderna,1371358
Peru,2022-06-16,Moderna,1412302
